type,problem,answer,time
m,236,7,26540
d,237,6,12100
m,237,6,29040
d,238,6,12040
m,238,6,23170
d,239,6,13390
m,239,6,26330
d,240,7,22110
m,240,7,31500
d,241,7,12090
m,241,7,23560
d,242,6,11460
m,242,6,20440
d,243,7,10990
m,243,7,28890
d,244,7,12580
m,244,7,23550
d,245,5,12030
m,245,5,27250
d,246,6,12410
m,246,6,23350
d,247,6,12960
m,247,6,34230
d,248,6,16110
m,248,6,27980
d,249,7,13910
m,249,7,29780
d,250,7,13100
m,250,7,29810
d,251,8,14790
m,251,8,29710
d,252,9,12410
d,253,10,13000
d,254,11,41710
d,255,12,31150
d,256,13,29870
d,257,14,24770
d,258,15,31440
d,259,16,31030
d,260,17,18490
d,261,18,17620
d,262,6,24520
d,263,7,25400
d,264,15,25720
d,265,16,17200
d,266,17,18340
d,267,18,17010
d,268,9,17910
d,269,10,27320
d,270,11,26580
d,271,16,19000
d,272,17,17390
d,273,18,17300
d,274,15,17100
d,275,16,21450
d,276,17,23500
d,277,18,25860
d,278,17,25920
d,279,18,25690
d,280,15,26810
d,281,16,31930
d,282,17,30960
d,283,18,29090
d,284,19,35900
d,285,10,34380
d,286,11,36840
d,287,16,49520
d,288,9,24230
d,289,10,25210
d,290,11,18810
d,291,16,25280
d,292,17,29290
d,293,18,21710
d,294,15,19810
d,295,16,19160
d,296,17,25010
d,297,16,19490
d,298,17,30380
d,299,18,27700
d,300,19,21880
d,301,16,21400
d,302,17,24060
d,303,9,24270
d,304,10,28720
d,305,10,26920
d,306,11,38180
d,307,12,33580
d,308,17,35040
d,309,15,49150
d,310,16,36090
d,311,16,39000
d,312,17,39590
d,313,18,32050
d,314,17,28630
d,315,18,39900
d,316,16,33560
d,317,16,17000
d,318,17,15740
d,319,18,16650
d,320,10,18430
d,321,11,16760
d,322,11,13470
d,323,17,18440
d,324,17,16320
d,325,10,16190
d,326,16,15700
d,327,17,16240
d,328,17,19180
d,329,18,17740
d,330,18,18080
d,331,16,13430
d,332,16,15090
d,333,17,19150
d,334,17,16360
d,335,18,16600
d,336,19,20680
d,337,11,18050
d,338,17,19680
d,339,17,20430
d,340,10,15310
d,341,11,18210
d,342,11,23450
d,343,17,17010
d,344,18,18070
d,345,18,24250
d,346,16,16470
d,347,17,16730
d,348,17,19300
d,349,17,19970
d,350,18,17320
d,351,18,17390
d,352,19,14920
d,353,17,21040
d,354,17,20270
d,355,10,18220
d,356,11,21580
d,357,11,19000
d,358,12,19500
d,359,12,17040
d,360,18,24160
d,361,16,20350
d,362,17,19570
d,363,17,23570
d,364,18,19020
d,365,18,18080
d,366,18,17840
d,367,19,23360
d,368,17,22730
d,369,17,17610
d,370,18,20230
d,371,18,21100
d,372,11,20140
d,373,12,16900
d,374,12,17020
d,375,18,17090
d,376,18,16340
d,377,11,15880
d,378,17,15760
d,379,18,14290
d,380,18,28670
d,381,19,22370
d,382,19,20420
d,383,17,24940
d,384,17,21580
d,385,18,19310
d,386,18,20710
d,387,19,23520
d,388,19,20320
d,389,12,19950
d,390,18,41490
d,391,18,23900
d,392,11,20040
d,393,12,29790
d,394,12,17880
d,395,18,17970
d,396,19,18200
d,397,19,18280
d,398,17,18000
d,399,18,22400
d,400,18,30090
d,401,18,21850
d,402,19,22740
d,403,19,18400
d,404,20,18420
d,405,21,19160
d,406,22,23610
d,407,23,22750
d,408,24,20990
d,409,12,24800
d,410,13,22010
d,411,21,23630
d,412,22,21170
d,413,23,22060
d,414,24,16580
d,415,18,19150
d,416,19,23560
d,417,19,28080
d,418,22,60920
d,419,23,26360
d,420,24,35030
d,421,21,22960
d,422,22,19540
d,423,23,64560
d,424,24,53060
d,425,23,40770
d,426,24,26910
d,427,21,26420
d,428,22,27340
d,429,23,24780
d,430,24,18290
d,431,25,24150
d,432,24,23260
d,433,25,21050
d,434,22,22380
d,435,23,23590
d,436,24,23060
d,437,25,48370
d,438,22,25780
d,439,23,23420
d,440,24,27950
d,441,21,30030
d,442,22,21330
d,443,23,24080
d,444,22,23710
d,445,23,25900
d,446,24,34330
d,447,25,34980
d,448,22,28870
d,449,23,24530
d,450,22,22520
d,451,23,27280
d,452,24,28210
d,453,25,28120
d,454,26,25820
d,455,27,26310
d,456,21,27090
d,457,22,25660
d,458,22,25490
d,459,23,22860
d,460,24,33370
d,461,27,25240
d,462,28,28800
d,463,22,31310
d,464,22,24390
d,465,23,27520
d,466,24,25520
d,467,23,22620
d,468,28,36260
d,469,29,27870
d,470,23,26480
