type,problem,answer,time,,type,problem,answer,time,,,,,,,,,,type,problem,answer,time,,type,problem,answer,time
d,104,2,2,,d,104,2,2,,,,,,,,,,m,104,2,4,,,,,
d,105,3,2,,d,105,3,2,,,,,,,,,,m,105,3,4,,,,,
d,106,3,2,,d,106,3,2,,,,,,,,,,m,106,3,4,,,,,
d,107,4,3,,d,107,4,3,,,,,,,,,,m,107,4,4,,,,,
d,108,4,2,,d,108,4,2,,,,,,,,,,m,108,4,4,,,,,
d,109,4,3,,d,109,4,3,,,,,,,,,,m,109,4,4,,,,,
d,110,5,3,,d,110,5,3,,,,,,,,,,m,110,5,4,,,,,
d,111,3,2,,d,111,3,2,,,,,,,,,,m,111,3,4,,,,,
d,112,3,2,,d,112,3,2,,,,,,,,,,m,112,3,4,,,,,
d,113,4,3,,d,113,4,3,,,,,,,,,,m,113,4,4,,,,,
d,114,4,3,,d,114,4,3,,,,,,,,,,m,114,4,4,,,,,
d,115,4,3,,d,115,4,3,,,,,,,,,,m,115,4,4,,,,,
d,116,5,3,,d,116,5,3,,,,,,,,,,m,116,5,4,,,,,
d,117,5,3,,d,117,5,3,,,,,,,,,,m,117,5,4,,,,,
d,118,4,3,,d,118,4,3,,,,,,,,,,m,118,4,5,,,,,
d,119,4,3,,d,119,4,3,,,,,,,,,,m,119,4,5,,,,,
d,120,4,3,,d,120,4,3,,,,,,,,,,m,120,4,5,,,,,
d,121,3,3,,d,121,3,3,,,,,,,,,,m,121,3,5,,,,,
d,122,4,3,,d,122,4,3,,,,,,,,,,m,122,4,13,,,,,
d,123,4,3,,d,123,4,3,,,,,,,,,,m,123,4,5,,,,,
d,124,5,3,,d,124,5,3,,,,,,,,,,m,124,5,5,,,,,
d,125,5,3,,d,125,5,3,,,,,,,,,,m,125,5,5,,,,,
d,126,3,3,,d,126,3,3,,,,,,,,,,m,126,3,5,,,,,
d,127,3,3,,d,127,3,3,,,,,,,,,,m,127,3,5,,,,,
d,128,4,3,,d,128,4,3,,,,,,,,,,m,128,4,5,,,,,
d,129,4,3,,d,129,4,3,,,,,,,,,,m,129,4,5,,,,,
d,130,5,3,,d,130,5,3,,,,,,,,,,m,130,5,5,,,,,
d,131,5,3,,d,131,5,3,,,,,,,,,,m,131,5,5,,,,,
d,132,5,3,,d,132,5,3,,,,,,,,,,m,132,5,5,,,,,
d,133,4,3,,d,133,4,3,,,,,,,,,,m,133,4,5,,,,,
d,134,4,3,,d,134,4,3,,,,,,,,,,m,134,4,5,,,,,
d,135,4,3,,d,135,4,3,,,,,,,,,,m,135,4,5,,,,,
d,136,5,3,,d,136,5,3,,,,,,,,,,m,136,5,5,,,,,
d,137,5,3,,d,137,5,3,,,,,,,,,,m,137,5,5,,,,,
d,138,4,3,,d,138,4,3,,,,,,,,,,m,138,4,5,,,,,
d,139,5,3,,d,139,5,3,,,,,,,,,,m,139,5,5,,,,,
d,140,5,3,,d,140,5,3,,,,,,,,,,m,140,5,5,,,,,
d,141,3,4,,d,141,3,4,,,,,,,,,,m,141,3,5,,,,,
d,142,4,4,,d,142,4,4,,,,,,,,,,m,142,4,6,,,,,
d,143,4,4,,d,143,4,4,,,,,,,,,,m,143,4,6,,,,,
d,144,4,4,,d,144,4,4,,,,,,,,,,m,144,4,6,,,,,
d,145,5,4,,d,145,5,4,,,,,,,,,,m,145,5,6,,,,,
d,146,5,4,,d,146,5,4,,,,,,,,,,m,146,5,6,,,,,
d,147,6,4,,d,147,6,4,,,,,,,,,,m,147,6,6,,,,,
d,148,4,4,,d,148,4,4,,,,,,,,,,m,148,4,6,,,,,
d,149,4,4,,d,149,4,4,,,,,,,,,,m,149,4,6,,,,,
d,150,4,4,,d,150,4,4,,,,,,,,,,m,150,4,6,,,,,
d,151,5,4,,d,151,5,4,,,,,,,,,,m,151,5,6,,,,,
d,152,5,4,,d,152,5,4,,,,,,,,,,m,152,5,6,,,,,
d,153,6,4,,d,153,6,4,,,,,,,,,,m,153,6,6,,,,,
d,154,6,4,,d,154,6,4,,,,,,,,,,m,154,6,6,,,,,
d,155,5,4,,d,155,5,4,,,,,,,,,,m,155,5,6,,,,,
d,156,3,4,,d,156,3,4,,,,,,,,,,m,156,3,6,,,,,
d,157,4,4,,d,157,4,4,,,,,,,,,,m,157,4,7,,,,,
d,158,4,4,,d,158,4,4,,,,,,,,,,m,158,4,7,,,,,
d,159,5,4,,d,159,5,4,,,,,,,,,,m,159,5,6,,,,,
d,160,5,4,,d,160,5,4,,,,,,,,,,m,160,5,6,,,,,
d,161,5,5,,d,161,5,5,,,,,,,,,,m,161,5,7,,,,,
d,162,6,4,,d,162,6,4,,,,,,,,,,m,162,6,7,,,,,
d,163,4,4,,d,163,4,4,,,,,,,,,,m,163,4,7,,,,,
d,164,4,5,,d,164,4,5,,,,,,,,,,m,164,4,7,,,,,
d,165,5,4,,d,165,5,4,,,,,,,,,,m,165,5,7,,,,,
d,166,5,4,,d,166,5,4,,,,,,,,,,m,166,5,7,,,,,
